Region,Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
"Washington County, OR",1/12,205000,-0.07,-0.12,368,-0.27,0.2,605,0.53,0.1,2112,-0.04,-0.24,77,-3,-38,0.97,0,0.01
"Washington County, OR",2/12,208000,0.02,-0.06,428,0.16,0.37,609,0.01,-0.01,2039,-0.04,-0.27,82,5,-31,0.98,0.01,0.01
"Washington County, OR",3/12,220000,0.06,0.01,579,0.35,0.1,656,0.08,-0.06,1775,-0.13,-0.35,88,6,-26,0.98,0,0.01
"Washington County, OR",4/12,230000,0.05,0.02,587,0.01,0.14,779,0.19,0.03,1848,0.04,-0.33,62,-26,-43,0.98,0,0.01
"Washington County, OR",5/12,230000,0,0.02,649,0.11,0.17,859,0.1,0.1,1930,0.04,-0.32,44,-18,-33,0.99,0.01,0.01
"Washington County, OR",6/12,233000,0.01,0.04,752,0.16,0.18,789,-0.08,0.09,1977,0.02,-0.3,48,4,-18,0.99,0,0.01
"Washington County, OR",7/12,250000,0.07,0.11,653,-0.13,0.28,749,-0.05,0.08,1979,0,-0.29,39,-9,-38,0.99,0,0.01
"Washington County, OR",8/12,237000,-0.05,0.04,788,0.21,0.31,788,0.05,0.19,2028,0.03,-0.23,40,1,-27,0.99,0,0.02
"Washington County, OR",9/12,234000,-0.01,0,601,-0.24,0.21,611,-0.23,0.1,1933,-0.05,-0.23,43,3,-25,0.99,0,0.02
"Washington County, OR",10/12,240000,0.03,0.09,703,0.17,0.42,563,-0.08,0.05,1756,-0.09,-0.25,46,3,-26,0.99,0,0.01
"Washington County, OR",11/12,245000,0.02,0.09,577,-0.18,0.11,437,-0.22,-0.16,1624,-0.08,-0.28,49,3,-39,0.99,0,0.01
"Washington County, OR",12/12,245000,0,0.12,594,0.03,0.18,326,-0.25,-0.18,1459,-0.1,-0.33,58,9,-22,0.99,0,0.01
"Washington County, OR",1/13,250000,0.02,0.22,444,-0.25,0.21,576,0.77,-0.05,1366,-0.06,-0.35,66,8,-11,0.99,0,0.01
"Washington County, OR",2/13,249000,-0.01,0.2,435,-0.02,0.02,638,0.11,0.05,1321,-0.03,-0.35,56,-10,-26,0.99,0,0.01
"Washington County, OR",3/13,252000,0.01,0.15,633,0.46,0.09,803,0.26,0.22,1295,-0.02,-0.27,45,-11,-43,0.99,0.01,0.01
"Washington County, OR",4/13,258000,0.02,0.12,709,0.12,0.21,943,0.17,0.21,1350,0.04,-0.27,23,-22,-39,1,0,0.02
"Washington County, OR",5/13,274000,0.06,0.19,892,0.26,0.37,1021,0.08,0.19,1490,0.1,-0.23,18,-5,-26,1,0,0.01
"Washington County, OR",6/13,265000,-0.03,0.14,810,-0.09,0.08,1030,0.01,0.31,1636,0.1,-0.17,15,-3,-33,1,0,0.01
"Washington County, OR",7/13,275000,0.04,0.1,900,0.11,0.38,1068,0.04,0.43,1831,0.12,-0.08,17,2,-22,1,0,0.01
"Washington County, OR",8/13,280000,0.02,0.18,845,-0.06,0.07,934,-0.13,0.19,1885,0.03,-0.07,19,2,-21,1,0,0.01
"Washington County, OR",9/13,272000,-0.03,0.16,749,-0.11,0.25,740,-0.21,0.21,1849,-0.02,-0.04,28,9,-15,0.99,0,0
"Washington County, OR",10/13,271000,0,0.13,694,-0.07,-0.01,664,-0.1,0.18,1777,-0.04,0.01,28,0,-18,0.99,0,0.01
"Washington County, OR",11/13,262000,-0.03,0.07,600,-0.14,0.04,517,-0.22,0.18,1608,-0.1,-0.01,36,8,-13,0.99,0,0
"Washington County, OR",12/13,280000,0.07,0.14,580,-0.03,-0.02,350,-0.32,0.07,1406,-0.13,-0.04,47,11,-11,0.99,0,0
"Washington County, OR",1/14,262000,-0.07,0.05,446,-0.23,0.01,606,0.73,0.05,1326,-0.06,-0.03,47,0,-19,0.99,0,0
"Washington County, OR",2/14,280000,0.07,0.12,492,0.1,0.13,598,-0.01,-0.06,1327,0,0.01,50,3,-6,0.99,0,0
"Washington County, OR",3/14,274000,-0.02,0.09,593,0.21,-0.06,828,0.39,0.03,1343,0.01,0.04,37,-13,-8,0.99,0,0
"Washington County, OR",4/14,280000,0.02,0.09,700,0.18,-0.01,1003,0.21,0.06,1432,0.07,0.06,19,-18,-4,0.99,0,0
